127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/css/calendar.css, HTTP/1.1, 304, 0.001069
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/js/calendar.js, HTTP/1.1, 304, 0.000425
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/css/web2py.css, HTTP/1.1, 304, 0.000511
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/js/web2py.js, HTTP/1.1, 304, 0.000977
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/images/twitter.png, HTTP/1.1, 304, 0.001707
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/images/facebook.png, HTTP/1.1, 304, 0.001905
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/images/gplus-32.png, HTTP/1.1, 304, 0.001434
127.0.0.1, 2014-10-16 16:44:21, GET, /admin/default/peek/Practical2/models/db.py, HTTP/1.1, 200, 0.067047
127.0.0.1, 2014-10-16 16:44:23, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.126489
127.0.0.1, 2014-10-16 16:44:24, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.194980
127.0.0.1, 2014-10-16 16:44:24, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.106221
127.0.0.1, 2014-10-16 16:44:24, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.291414
127.0.0.1, 2014-10-16 16:44:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.306119
127.0.0.1, 2014-10-16 16:44:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.057090
127.0.0.1, 2014-10-16 16:44:30, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.135156
127.0.0.1, 2014-10-16 16:45:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047548
127.0.0.1, 2014-10-16 16:45:36, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.074001
127.0.0.1, 2014-10-16 16:46:23, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.073570
127.0.0.1, 2014-10-16 16:46:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047891
127.0.0.1, 2014-10-16 16:46:26, GET, /Practical2/default/index, HTTP/1.1, 200, 0.287368
127.0.0.1, 2014-10-16 16:46:32, GET, /admin/default/design/Practical2, HTTP/1.1, 200, 0.160920
127.0.0.1, 2014-10-16 16:46:37, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.778108
127.0.0.1, 2014-10-16 16:47:33, GET, /admin/default/peek/Practical2/models/db.py, HTTP/1.1, 200, 0.101730
127.0.0.1, 2014-10-16 16:47:37, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.129382
127.0.0.1, 2014-10-16 16:47:38, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.160990
127.0.0.1, 2014-10-16 16:47:38, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.103865
127.0.0.1, 2014-10-16 16:47:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.271582
127.0.0.1, 2014-10-16 16:47:38, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.277781
127.0.0.1, 2014-10-16 16:47:38, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.054540
127.0.0.1, 2014-10-16 16:48:22, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.076628
127.0.0.1, 2014-10-16 16:48:25, GET, /Practical2/default/index, HTTP/1.1, 200, 0.066200
127.0.0.1, 2014-10-16 16:48:28, GET, /admin/default/design/Practical2, HTTP/1.1, 200, 0.529580
127.0.0.1, 2014-10-16 16:48:33, GET, /Practical2/default/index, HTTP/1.1, 200, 0.119483
127.0.0.1, 2014-10-16 16:48:37, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.147128
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.148231
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001586
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.007335
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001061
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/js/jquery.js, HTTP/1.1, 304, 0.001047
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/css/calendar.css, HTTP/1.1, 304, 0.001008
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/js/calendar.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/css/web2py.css, HTTP/1.1, 304, 0.001015
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/js/web2py.js, HTTP/1.1, 304, 0.000953
